runtime,method,task_cases,evaluated,inline_invariants_preserved,inline_mismatch,not_evaluable,errors,mean_byte_reduction_pct,mean_payload_token_reduction_pct,median_warm_ms,median_added_gate_ms,recovered,original_fallbacks
0.36.0,raw,168,168,168,0,0,0,0.0,0.0,0.0,0.0,0,0
0.36.0,task_projection,168,168,168,0,0,0,99.12614396977365,98.96773776412519,0.486396,0.0,0,0
0.36.0,projection_plus_gate,168,168,168,0,0,0,99.12614396977365,98.96773776412519,0.5067075000000001,0.018692,0,0
0.36.0,headroom_default,168,167,154,13,1,0,27.776514390842333,30.465605589320756,59.895712,0.0,0,0
0.36.0,headroom_plus_gate,168,168,168,0,0,0,33.56631267835886,36.097965952063475,71.384839,11.3176035,14,0
0.36.0,headroom_lossless,168,167,167,0,1,0,20.895888199909933,28.08680695493036,55.586579,0.0,0,0
0.36.0,headroom_audit_safe,168,167,167,0,1,0,0.5694743154934239,0.43269959097106503,55.654919,0.0,0,0
0.36.0,headroom_audit_values,168,167,154,13,1,0,24.1146253201559,26.513171693665306,67.644903,0.0,0,0
0.37.0,raw,168,168,168,0,0,0,0.0,0.0,0.0,0.0,0,0
0.37.0,task_projection,168,168,168,0,0,0,99.12614396977365,98.96773776412519,0.6862975,0.0,0,0
0.37.0,projection_plus_gate,168,168,168,0,0,0,99.12614396977365,98.96773776412519,0.709849,0.025229,0,0
0.37.0,headroom_default,168,167,154,13,1,0,27.776514390842333,30.465605589320756,77.665797,0.0,0,0
0.37.0,headroom_plus_gate,168,168,168,0,0,0,33.56631267835886,36.097965952063475,93.354951,15.543224,14,0
0.37.0,headroom_lossless,168,167,167,0,1,0,20.895888199909933,28.08680695493036,73.24638,0.0,0,0
0.37.0,headroom_audit_safe,168,167,167,0,1,0,0.5694743154934239,0.43269959097106503,73.227733,0.0,0,0
0.37.0,headroom_audit_values,168,167,154,13,1,0,24.1146253201559,26.513171693665306,89.01018300000001,0.0,0,0
source-bc21c93,raw,168,168,168,0,0,0,0.0,0.0,0.0,0.0,0,0
source-bc21c93,task_projection,168,168,168,0,0,0,99.12614396977365,98.96773776412519,0.7439,0.0,0,0
source-bc21c93,projection_plus_gate,168,168,168,0,0,0,99.12614396977365,98.96773776412519,0.772664,0.028879000000000002,0,0
source-bc21c93,headroom_default,168,167,154,13,1,0,27.776514390842333,30.465605589320756,91.58554000000001,0.0,0,0
source-bc21c93,headroom_plus_gate,168,168,168,0,0,0,33.56631267835886,36.097965952063475,111.6878255,19.767557,14,0
source-bc21c93,headroom_lossless,168,167,167,0,1,0,20.895888199909933,28.08680695493036,85.2813945,0.0,0,0
source-bc21c93,headroom_audit_safe,168,167,167,0,1,0,0.5694743154934239,0.43269959097106503,84.932905,0.0,0,0
source-bc21c93,headroom_audit_values,168,167,154,13,1,0,24.1146253201559,26.513171693665306,104.8508065,0.0,0,0
