case,domain,n_rows,task,method,bytes,reduction_pct,answer_preserved,invariants_preserved,recovered,latency_us
1,incident_ops,50,lookup,Raw,95310,0.0,1,1,0,0.0
1,incident_ops,50,lookup,Fixed projection,9666,89.85835694050992,0,0,0,46.671
1,incident_ops,50,lookup,Head-tail sampling,37699,60.44591333543175,0,0,0,0.521
1,incident_ops,50,lookup,Anomaly sampling,30230,68.2824467527017,0,0,0,69.745
1,incident_ops,50,lookup,Task-aware unverified,427,99.5519882488721,1,1,0,3.045
1,incident_ops,50,lookup,Pattern-retention guard,32093,66.32777253173853,1,1,1,86.179
1,incident_ops,50,lookup,Invariant-preserving gate,423,99.5561850802644,1,1,1,71.177
2,incident_ops,50,rare_event,Raw,95310,0.0,1,1,0,0.0
2,incident_ops,50,rare_event,Fixed projection,9666,89.85835694050992,1,1,0,45.549
2,incident_ops,50,rare_event,Head-tail sampling,37699,60.44591333543175,0,0,0,0.551
2,incident_ops,50,rare_event,Anomaly sampling,30230,68.2824467527017,1,1,0,67.772
2,incident_ops,50,rare_event,Task-aware unverified,356,99.62648200608541,1,1,0,4.236
2,incident_ops,50,rare_event,Pattern-retention guard,30228,68.28454516839786,1,1,0,66.09
2,incident_ops,50,rare_event,Invariant-preserving gate,30230,68.2824467527017,1,1,0,64.937
3,incident_ops,50,latest_state,Raw,95310,0.0,1,1,0,0.0
3,incident_ops,50,latest_state,Fixed projection,9666,89.85835694050992,1,1,0,46.489
3,incident_ops,50,latest_state,Head-tail sampling,37699,60.44591333543175,0,0,0,0.501
3,incident_ops,50,latest_state,Anomaly sampling,30230,68.2824467527017,1,0,0,63.386
3,incident_ops,50,latest_state,Task-aware unverified,171,99.82058545797923,0,0,0,3.174
3,incident_ops,50,latest_state,Pattern-retention guard,37726,60.417584723533736,1,1,1,68.292
3,incident_ops,50,latest_state,Invariant-preserving gate,731,99.23302906305739,1,1,1,76.776
4,incident_ops,50,aggregation,Raw,95310,0.0,1,1,0,0.0
4,incident_ops,50,aggregation,Fixed projection,9666,89.85835694050992,0,0,0,46.389
4,incident_ops,50,aggregation,Head-tail sampling,37699,60.44591333543175,0,0,0,0.531
4,incident_ops,50,aggregation,Anomaly sampling,30230,68.2824467527017,0,0,0,58.558
4,incident_ops,50,aggregation,Task-aware unverified,507,99.46805162102612,1,1,0,9.424
4,incident_ops,50,aggregation,Pattern-retention guard,45189,52.58734655335222,1,1,1,65.458
4,incident_ops,50,aggregation,Invariant-preserving gate,503,99.47224845241843,1,1,1,81.742
5,incident_ops,50,join,Raw,95310,0.0,1,1,0,0.0
5,incident_ops,50,join,Fixed projection,9666,89.85835694050992,0,0,0,45.228
5,incident_ops,50,join,Head-tail sampling,37699,60.44591333543175,0,0,0,0.511
5,incident_ops,50,join,Anomaly sampling,30230,68.2824467527017,0,0,0,57.947
5,incident_ops,50,join,Task-aware unverified,1001,98.94974294407723,1,1,0,9.844
5,incident_ops,50,join,Pattern-retention guard,43383,54.48221592697513,1,1,1,64.186
5,incident_ops,50,join,Invariant-preserving gate,997,98.95393977546952,1,1,1,81.792
6,incident_ops,50,negative_evidence,Raw,95310,0.0,1,1,0,0.0
6,incident_ops,50,negative_evidence,Fixed projection,9666,89.85835694050992,1,1,0,46.49
6,incident_ops,50,negative_evidence,Head-tail sampling,37699,60.44591333543175,0,0,0,0.5
6,incident_ops,50,negative_evidence,Anomaly sampling,30230,68.2824467527017,0,0,0,59.29
6,incident_ops,50,negative_evidence,Task-aware unverified,78,99.91816178785017,0,0,0,0.52
6,incident_ops,50,negative_evidence,Pattern-retention guard,37726,60.417584723533736,1,1,1,66.17
6,incident_ops,50,negative_evidence,Invariant-preserving gate,360,99.6222851746931,1,1,1,75.563
7,incident_ops,50,threshold,Raw,95310,0.0,1,1,0,0.0
7,incident_ops,50,threshold,Fixed projection,9666,89.85835694050992,0,0,0,46.019
7,incident_ops,50,threshold,Head-tail sampling,37699,60.44591333543175,0,0,0,0.501
7,incident_ops,50,threshold,Anomaly sampling,30230,68.2824467527017,1,1,0,60.05
7,incident_ops,50,threshold,Task-aware unverified,181,99.81009337949848,1,1,0,3.225
7,incident_ops,50,threshold,Pattern-retention guard,45266,52.50655754905047,1,1,1,81.563
7,incident_ops,50,threshold,Invariant-preserving gate,30230,68.2824467527017,1,1,0,66.48
