method,task,n,mean_reduction_pct,answer_preservation_pct,invariant_preservation_pct,recovery_pct
Fixed projection,lookup,120,89.84,0.0,0.0,0.0
Fixed projection,rare_event,120,89.84,100.0,100.0,0.0
Fixed projection,latest_state,120,89.84,100.0,100.0,0.0
Fixed projection,aggregation,120,89.84,0.0,0.0,0.0
Fixed projection,join,120,89.84,0.0,0.0,0.0
Fixed projection,negative_evidence,120,89.84,100.0,100.0,0.0
Fixed projection,threshold,120,89.84,0.0,0.0,0.0
Fixed projection,provenance,120,89.84,0.0,0.0,0.0
Head-tail sampling,lookup,120,82.13,0.0,0.0,0.0
Head-tail sampling,rare_event,120,82.13,0.0,0.0,0.0
Head-tail sampling,latest_state,120,82.13,0.0,0.0,0.0
Head-tail sampling,aggregation,120,82.13,0.0,0.0,0.0
Head-tail sampling,join,120,82.13,0.0,0.0,0.0
Head-tail sampling,negative_evidence,120,82.13,4.17,4.17,0.0
Head-tail sampling,threshold,120,82.13,0.0,0.0,0.0
Head-tail sampling,provenance,120,82.13,0.0,0.0,0.0
Anomaly sampling,lookup,120,75.99,15.0,15.0,0.0
Anomaly sampling,rare_event,120,75.99,100.0,100.0,0.0
Anomaly sampling,latest_state,120,75.99,8.33,0.0,0.0
Anomaly sampling,aggregation,120,75.99,0.0,0.0,0.0
Anomaly sampling,join,120,75.99,0.0,0.0,0.0
Anomaly sampling,negative_evidence,120,75.99,3.33,3.33,0.0
Anomaly sampling,threshold,120,75.99,100.0,100.0,0.0
Anomaly sampling,provenance,120,75.99,100.0,100.0,0.0
Task-aware unverified,lookup,120,99.79,100.0,100.0,0.0
Task-aware unverified,rare_event,120,99.77,100.0,100.0,0.0
Task-aware unverified,latest_state,120,99.92,28.33,0.0,0.0
Task-aware unverified,aggregation,120,99.6,100.0,100.0,0.0
Task-aware unverified,join,120,99.56,100.0,100.0,0.0
Task-aware unverified,negative_evidence,120,99.96,0.0,0.0,0.0
Task-aware unverified,threshold,120,99.91,100.0,100.0,0.0
Task-aware unverified,provenance,120,99.55,100.0,100.0,0.0
Pattern-retention guard,lookup,120,75.23,100.0,100.0,85.0
Pattern-retention guard,rare_event,120,76.0,100.0,100.0,0.0
Pattern-retention guard,latest_state,120,70.23,100.0,100.0,100.0
Pattern-retention guard,aggregation,120,62.97,100.0,100.0,100.0
Pattern-retention guard,join,120,69.87,100.0,100.0,100.0
Pattern-retention guard,negative_evidence,120,73.16,100.0,100.0,96.67
Pattern-retention guard,threshold,120,60.63,100.0,100.0,100.0
Pattern-retention guard,provenance,120,76.0,100.0,100.0,0.0
Invariant-preserving gate,lookup,120,96.22,100.0,100.0,85.0
Invariant-preserving gate,rare_event,120,75.99,100.0,100.0,0.0
Invariant-preserving gate,latest_state,120,99.59,100.0,100.0,100.0
Invariant-preserving gate,aggregation,120,99.61,100.0,100.0,100.0
Invariant-preserving gate,join,120,99.57,100.0,100.0,100.0
Invariant-preserving gate,negative_evidence,120,98.88,100.0,100.0,96.67
Invariant-preserving gate,threshold,120,75.99,100.0,100.0,0.0
Invariant-preserving gate,provenance,120,75.99,100.0,100.0,0.0
