k,z,domain,n_rows,task,reduction_pct,answer_preserved,invariant_preserved,recovered
2,1.5,incident_ops,50,lookup,99.5561850802644,1,1,1
2,1.5,incident_ops,50,rare_event,76.2301962018676,1,1,0
2,1.5,incident_ops,50,latest_state,99.23302906305739,1,1,1
2,1.5,incident_ops,50,aggregation,99.47224845241843,1,1,1
2,1.5,incident_ops,50,join,98.95393977546952,1,1,1
2,1.5,incident_ops,50,negative_evidence,99.6222851746931,1,1,1
2,1.5,incident_ops,50,threshold,76.2301962018676,1,1,0
2,1.5,incident_ops,50,provenance,76.2301962018676,1,1,0
2,1.5,incident_ops,50,lookup,99.5290786092611,1,1,1
2,1.5,incident_ops,50,rare_event,80.13320048245845,1,1,0
2,1.5,incident_ops,50,latest_state,98.94278672190467,1,1,1
2,1.5,incident_ops,50,aggregation,99.38958519062354,1,1,1
2,1.5,incident_ops,50,join,99.53851801352981,1,1,1
2,1.5,incident_ops,50,negative_evidence,99.71472022654571,1,1,1
2,1.5,incident_ops,50,threshold,80.13320048245845,1,1,0
2,1.5,incident_ops,50,provenance,80.13320048245845,1,1,0
2,1.5,incident_ops,50,lookup,99.5384308747784,1,1,1
2,1.5,incident_ops,50,rare_event,76.17464097265203,1,1,0
2,1.5,incident_ops,50,latest_state,99.04644014812173,1,1,1
2,1.5,incident_ops,50,aggregation,99.47339158895171,1,1,1
2,1.5,incident_ops,50,join,99.34121497582007,1,1,1
2,1.5,incident_ops,50,negative_evidence,99.7954409558677,1,1,1
2,1.5,incident_ops,50,threshold,76.17464097265203,1,1,0
2,1.5,incident_ops,50,provenance,76.17464097265203,1,1,0
2,1.5,incident_ops,50,lookup,66.31998994532772,1,1,0
2,1.5,incident_ops,50,rare_event,66.31998994532772,1,1,0
2,1.5,incident_ops,50,latest_state,99.14535285615534,1,1,1
2,1.5,incident_ops,50,aggregation,99.50040847106139,1,1,1
2,1.5,incident_ops,50,join,99.34644630176585,1,1,1
2,1.5,incident_ops,50,negative_evidence,99.70673872515134,1,1,1
2,1.5,incident_ops,50,threshold,66.31998994532772,1,1,0
2,1.5,incident_ops,50,provenance,66.31998994532772,1,1,0
2,1.5,incident_ops,50,lookup,99.55134387186045,1,1,1
2,1.5,incident_ops,50,rare_event,72.20638181894418,1,1,0
2,1.5,incident_ops,50,latest_state,99.33540190364376,1,1,1
2,1.5,incident_ops,50,aggregation,99.80187848547108,1,1,1
2,1.5,incident_ops,50,join,99.24944442114973,1,1,1
2,1.5,incident_ops,50,negative_evidence,99.67084573776678,1,1,1
2,1.5,incident_ops,50,threshold,72.20638181894418,1,1,0
2,1.5,incident_ops,50,provenance,72.20638181894418,1,1,0
2,1.5,incident_ops,100,lookup,99.76806111774465,1,1,1
2,1.5,incident_ops,100,rare_event,77.09141244967613,1,1,0
2,1.5,incident_ops,100,latest_state,99.51710219047519,1,1,1
2,1.5,incident_ops,100,aggregation,99.57997400593848,1,1,1
2,1.5,incident_ops,100,join,99.42622864207445,1,1,1
2,1.5,incident_ops,100,negative_evidence,77.09141244967613,1,1,0
2,1.5,incident_ops,100,threshold,77.09141244967613,1,1,0
2,1.5,incident_ops,100,provenance,77.09141244967613,1,1,0
2,1.5,incident_ops,100,lookup,99.76548635172821,1,1,1
2,1.5,incident_ops,100,rare_event,76.10918617425844,1,1,0
2,1.5,incident_ops,100,latest_state,99.4205822699231,1,1,1
2,1.5,incident_ops,100,aggregation,99.6307994591397,1,1,1
2,1.5,incident_ops,100,join,99.27955717062453,1,1,1
2,1.5,incident_ops,100,negative_evidence,99.89700414096173,1,1,1
2,1.5,incident_ops,100,threshold,76.10918617425844,1,1,0
2,1.5,incident_ops,100,provenance,76.10918617425844,1,1,0
2,1.5,incident_ops,100,lookup,99.76551855255235,1,1,1
2,1.5,incident_ops,100,rare_event,75.105358217941,1,1,0
2,1.5,incident_ops,100,latest_state,99.61711925810916,1,1,1
2,1.5,incident_ops,100,aggregation,99.58067957370851,1,1,1
2,1.5,incident_ops,100,join,99.37735669698026,1,1,1
2,1.5,incident_ops,100,negative_evidence,99.83364491904054,1,1,1
2,1.5,incident_ops,100,threshold,75.105358217941,1,1,0
2,1.5,incident_ops,100,provenance,75.105358217941,1,1,0
2,1.5,incident_ops,100,lookup,71.20023632306629,1,1,0
2,1.5,incident_ops,100,rare_event,71.20023632306629,1,1,0
2,1.5,incident_ops,100,latest_state,99.61861255149785,1,1,1
2,1.5,incident_ops,100,aggregation,99.63127271576349,1,1,1
2,1.5,incident_ops,100,join,99.42660006013578,1,1,1
2,1.5,incident_ops,100,negative_evidence,99.89819117903055,1,1,1
2,1.5,incident_ops,100,threshold,71.20023632306629,1,1,0
2,1.5,incident_ops,100,provenance,71.20023632306629,1,1,0
2,1.5,incident_ops,100,lookup,99.77490092470276,1,1,1
2,1.5,incident_ops,100,rare_event,76.06552179656538,1,1,0
2,1.5,incident_ops,100,latest_state,99.47054161162482,1,1,1
2,1.5,incident_ops,100,aggregation,99.58150594451783,1,1,1
2,1.5,incident_ops,100,join,99.38124174372524,1,1,1
2,1.5,incident_ops,100,negative_evidence,99.87582562747687,1,1,1
2,1.5,incident_ops,100,threshold,76.06552179656538,1,1,0
2,1.5,incident_ops,100,provenance,76.06552179656538,1,1,0
2,1.5,incident_ops,250,lookup,99.9061357154662,1,1,1
2,1.5,incident_ops,250,rare_event,74.7992406103933,1,1,0
2,1.5,incident_ops,250,latest_state,99.88515927264714,1,1,1
2,1.5,incident_ops,250,aggregation,99.69361680488518,1,1,1
2,1.5,incident_ops,250,join,99.75040151877921,1,1,1
2,1.5,incident_ops,250,negative_evidence,99.94236775306278,1,1,1
2,1.5,incident_ops,250,threshold,74.7992406103933,1,1,0
2,1.5,incident_ops,250,provenance,74.7992406103933,1,1,0
